Task_ID,Date,Day,Sprint_Week,Phase,Workstream,Platform,Module,Feature,Task_Title,Task_Details,API_or_Integration_Focus,Estimated_Hours,Actual_Hours,Status,Dependency,Priority,Risk_Level,Owner,Reference_Source,Project_Planning_Monitoring_Architecture_Owner,DotNet_Owner,Flutter_Owner,Dynamics_CRM_Owner,PowerApps_Owner
TS-001,11-06-2025,Wednesday,Week-01,Discovery & Architecture,Project Governance,Cross-Platform,Planning,Release Planning,Requirement walkthrough from HELP guide,"Requirement walkthrough from HELP guide with completed implementation, peer review, and closure notes.",Architecture and API inventory completed,8,8,Done,Stakeholder sign-off,High,Low,Muralidhar,HELP + Swagger,Muralidhar,,,,
TS-002,12-06-2025,Thursday,Week-01,Discovery & Architecture,Project Governance,Cross-Platform,Planning,Release Planning,Solution architecture for Flutter + .NET + Dynamics CRM + Power Apps,"Solution architecture for Flutter + .NET + Dynamics CRM + Power Apps with completed implementation, peer review, and closure notes.",Architecture and API inventory completed,7,7.5,Done,Stakeholder sign-off,High,Low,Muralidhar,HELP.md + Swagger,Muralidhar,,,,
TS-003,13-06-2025,Friday,Week-01,Discovery & Architecture,Project Governance,Cross-Platform,Planning,Release Planning,Backlog creation with role-wise user stories,"Backlog creation with role-wise user stories with completed implementation, peer review, and closure notes.",Architecture and API inventory completed,8,8,Done,Stakeholder sign-off,High,Low,Muralidhar,HELP.md + Swagger,Muralidhar,,,,
TS-004,16-06-2025,Monday,Week-01,Discovery & Architecture,Project Governance,Cross-Platform,Planning,Release Planning,API surface review from Swagger and endpoint mapping,"API surface review from Swagger and endpoint mapping with completed implementation, peer review, and closure notes.",Architecture and API inventory completed,6,6.5,Done,Stakeholder sign-off,High,Low,Muralidhar,HELP.md + Swagger,Muralidhar,,,,
TS-005,17-06-2025,Tuesday,Week-01,Discovery & Architecture,Project Governance,Cross-Platform,Planning,Release Planning,Definition of Done and QA gates,"Definition of Done and QA gates with completed implementation, peer review, and closure notes.",Architecture and API inventory completed,8,8,Done,Stakeholder sign-off,High,Low,Muralidhar,HELP.md + Swagger,Muralidhar,,,,
TS-006,18-06-2025,Wednesday,Week-02,Discovery & Architecture,Project Governance,Cross-Platform,Planning,Release Planning,Requirement walkthrough from HELP guide,"Requirement walkthrough from HELP guide with completed implementation, peer review, and closure notes.",Architecture and API inventory completed,8,7.5,Done,Stakeholder sign-off,High,Low,Muralidhar,HELP.md + Swagger,Muralidhar,,,,
TS-007,19-06-2025,Thursday,Week-02,Discovery & Architecture,Project Governance,Cross-Platform,Planning,Release Planning,Solution architecture for Flutter + .NET + Dynamics CRM + Power Apps,"Solution architecture for Flutter + .NET + Dynamics CRM + Power Apps with completed implementation, peer review, and closure notes.",Architecture and API inventory completed,7,8,Done,Stakeholder sign-off,High,Low,Muralidhar,HELP.md + Swagger,Muralidhar,,,,
TS-008,20-06-2025,Friday,Week-02,Discovery & Architecture,Project Governance,Cross-Platform,Planning,Release Planning,Backlog creation with role-wise user stories,"Backlog creation with role-wise user stories with completed implementation, peer review, and closure notes.",Architecture and API inventory completed,8,6.5,Done,Stakeholder sign-off,High,Low,Muralidhar,HELP.md + Swagger,Muralidhar,,,,
TS-009,23-06-2025,Monday,Week-02,Discovery & Architecture,Project Governance,Cross-Platform,Planning,Release Planning,API surface review from Swagger and endpoint mapping,"API surface review from Swagger and endpoint mapping with completed implementation, peer review, and closure notes.",Architecture and API inventory completed,6,8,Done,Stakeholder sign-off,High,Low,Muralidhar,HELP.md + Swagger,Muralidhar,,,,
TS-010,24-06-2025,Tuesday,Week-02,Discovery & Architecture,Project Governance,Cross-Platform,Planning,Release Planning,Definition of Done and QA gates,"Definition of Done and QA gates with completed implementation, peer review, and closure notes.",Architecture and API inventory completed,8,7.5,Done,Stakeholder sign-off,High,Low,Muralidhar,HELP.md + Swagger,Muralidhar,,,,
TS-011,25-06-2025,Wednesday,Week-03,Discovery & Architecture,Project Governance,Cross-Platform,Planning,Release Planning,Requirement walkthrough from HELP guide,"Requirement walkthrough from HELP guide with completed implementation, peer review, and closure notes.",Architecture and API inventory completed,8,8,Done,Stakeholder sign-off,High,Low,Muralidhar,HELP.md + Swagger,Muralidhar,,,,
TS-012,26-06-2025,Thursday,Week-03,Discovery & Architecture,Project Governance,Cross-Platform,Planning,Release Planning,Solution architecture for Flutter + .NET + Dynamics CRM + Power Apps,"Solution architecture for Flutter + .NET + Dynamics CRM + Power Apps with completed implementation, peer review, and closure notes.",Architecture and API inventory completed,7,6.5,Done,Stakeholder sign-off,High,Low,Muralidhar,HELP.md + Swagger,Muralidhar,,,,
TS-013,27-06-2025,Friday,Week-03,Discovery & Architecture,Project Governance,Cross-Platform,Planning,Release Planning,Backlog creation with role-wise user stories,"Backlog creation with role-wise user stories with completed implementation, peer review, and closure notes.",Architecture and API inventory completed,8,8,Done,Stakeholder sign-off,High,Low,Muralidhar,HELP.md + Swagger,Muralidhar,,,,
TS-014,30-06-2025,Monday,Week-03,Discovery & Architecture,Project Governance,Cross-Platform,Planning,Release Planning,API surface review from Swagger and endpoint mapping,"API surface review from Swagger and endpoint mapping with completed implementation, peer review, and closure notes.",Architecture and API inventory completed,6,7.5,Done,Stakeholder sign-off,High,Low,Muralidhar,HELP.md + Swagger,Muralidhar,,,,
TS-015,01-07-2025,Tuesday,Week-03,Auth & Identity,Authentication,Flutter + .NET,Sign In/Sign Up,Identity and Access,Role-based routing after authentication,"Role-based routing after authentication with completed implementation, peer review, and closure notes.",ApplicationUser/Auth/Signup endpoints integrated,8,8,Done,Identity endpoints stable,High,Medium,Sreeker,ApplicationUser/Auth/Signup APIs,,Pramod,Sreeker,,
TS-016,02-07-2025,Wednesday,Week-04,Auth & Identity,Authentication,Flutter + .NET,Sign In/Sign Up,Identity and Access,Implement sign-in UI validation and state handling,"Implement sign-in UI validation and state handling with completed implementation, peer review, and closure notes.",ApplicationUser/Auth/Signup endpoints integrated,8,6.5,Done,Identity endpoints stable,High,Medium,Murali,ApplicationUser/Auth/Signup APIs,,Pramod,Murali,,
TS-017,03-07-2025,Thursday,Week-04,Auth & Identity,Authentication,Flutter + .NET,Sign In/Sign Up,Identity and Access,Integrate login API and token persistence,"Integrate login API and token persistence with completed implementation, peer review, and closure notes.",ApplicationUser/Auth/Signup endpoints integrated,7,8,Done,Identity endpoints stable,High,Medium,Sreeker,ApplicationUser/Auth/Signup APIs,,Pramod,Sreeker,,
TS-018,04-07-2025,Friday,Week-04,Auth & Identity,Authentication,Flutter + .NET,Sign In/Sign Up,Identity and Access,Implement signup flow with company selection,"Implement signup flow with company selection with completed implementation, peer review, and closure notes.",ApplicationUser/Auth/Signup endpoints integrated,8,7.5,Done,Identity endpoints stable,High,Medium,Murali,ApplicationUser/Auth/Signup APIs,,Pramod,Murali,,
TS-019,07-07-2025,Monday,Week-04,Auth & Identity,Authentication,Flutter + .NET,Sign In/Sign Up,Identity and Access,Forgot password + verify code + reset flow wiring,"Forgot password + verify code + reset flow wiring with completed implementation, peer review, and closure notes.",ApplicationUser/Auth/Signup endpoints integrated,6,8,Done,Identity endpoints stable,High,Medium,Sreeker,ApplicationUser/Auth/Signup APIs,,Pramod,Sreeker,,
TS-020,08-07-2025,Tuesday,Week-04,Auth & Identity,Authentication,Flutter + .NET,Sign In/Sign Up,Identity and Access,Role-based routing after authentication,"Role-based routing after authentication with completed implementation, peer review, and closure notes.",ApplicationUser/Auth/Signup endpoints integrated,8,6.5,Done,Identity endpoints stable,High,Medium,Murali,ApplicationUser/Auth/Signup APIs,,Pramod,Murali,,
TS-021,09-07-2025,Wednesday,Week-05,Auth & Identity,Authentication,Flutter + .NET,Sign In/Sign Up,Identity and Access,Implement sign-in UI validation and state handling,"Implement sign-in UI validation and state handling with completed implementation, peer review, and closure notes.",ApplicationUser/Auth/Signup endpoints integrated,8,8,Done,Identity endpoints stable,High,Medium,Sreeker,ApplicationUser/Auth/Signup APIs,,Pramod,Sreeker,,
TS-022,10-07-2025,Thursday,Week-05,Auth & Identity,Authentication,Flutter + .NET,Sign In/Sign Up,Identity and Access,Integrate login API and token persistence,"Integrate login API and token persistence with completed implementation, peer review, and closure notes.",ApplicationUser/Auth/Signup endpoints integrated,7,7.5,Done,Identity endpoints stable,High,Medium,Murali,ApplicationUser/Auth/Signup APIs,,Pramod,Murali,,
TS-023,11-07-2025,Friday,Week-05,Auth & Identity,Authentication,Flutter + .NET,Sign In/Sign Up,Identity and Access,Implement signup flow with company selection,"Implement signup flow with company selection with completed implementation, peer review, and closure notes.",ApplicationUser/Auth/Signup endpoints integrated,8,8,Done,Identity endpoints stable,High,Medium,Sreeker,ApplicationUser/Auth/Signup APIs,,Pramod,Sreeker,,
